setup,hidden,learning_rate,batch_size,train_percentage,epoch,nlt_tp,nlt_fp,nlt_tn,nlt_fn,eval_accuracy,eval_accuracy_2,precision,recall,f1-score
BCEwithLL,16,0.0001,2,100%,8,562,260,654,895,0.9506625926,,0.6836982968,0.3857240906,0.4931987714
BCEwithLL,32,0.0001,2,100%,3,660,314,600,797,0.9506625926,,0.6776180698,0.4529855868,0.5429864253
BCEwithLL,16,0.0001,1,100%,8,572,266,648,885,0.9506625926,,0.6825775656,0.3925875086,0.4984749455
NLLoss,32,0.0001,16,100%,5,616,293,621,841,0.9506625926,,0.6776677668,0.4227865477,0.5207100592
NLLoss,32,0.0001,4,100%,7,548,253,661,909,0.9506625926,,0.684144819,0.3761153054,0.4853852967
NLLoss,16,0.0001,2,100%,5,564,257,657,893,0.9506625926,,0.6869671133,0.3870967742,0.4951712028
NLLoss,128,0.0001,4,100%,9,519,245,669,938,0.9506625926,95.07,0.6793193717,0.3562113933,0.4673570464
NLLoss,32,0.0001,1,100%,4,557,256,658,900,0.9506625926,,0.6851168512,0.3822923816,0.4907488987
NLLoss,32,0.0001,1,100%,8,518,232,682,939,0.9506625926,,0.6906666667,0.3555250515,0.4694154961
NLLoss,64,0.0001,1,100%,8,534,239,675,923,0.9506625926,,0.6908150065,0.3665065202,0.4789237668
NLLoss,128,0.0001,1,100%,5,553,255,659,904,0.9506625926,,0.6844059406,0.3795470144,0.4883002208
BCEwithLL,256,0.0001,2,100%,6,607,277,637,850,0.9506625926,,0.6866515837,0.4166094715,0.5185818026
NLLoss,256,0.0001,2,100%,7,540,252,662,917,0.9506625926,,0.6818181818,0.370624571,0.4802134282
BCEwithLL,8,0.001,8,100%,8,478,208,706,979,0.9506625926,,0.6967930029,0.3280713795,0.4461035931
NLLoss,8,0.0001,1,100%,7,554,261,653,903,0.9506625926,,0.6797546012,0.3802333562,0.4876760563
BCEwithLL,64,0.001,32,100%,4,517,235,679,940,0.9506459862,,0.6875,0.3548387097,0.4680851064
BCEwithLL,32,0.001,8,100%,8,491,216,698,966,0.9506459862,,0.6944837341,0.3369938229,0.4537892791
BCEwithLL,16,0.0001,1,100%,6,588,275,639,869,0.9506459862,,0.6813441483,0.4035689774,0.5068965517
NLLoss,32,0.0001,4,100%,5,566,261,653,891,0.9506459862,,0.684401451,0.3884694578,0.4956217163
BCEwithLL,32,0.0001,1,100%,4,611,288,626,846,0.9506459862,,0.6796440489,0.4193548387,0.5186757216
NLLoss,128,1.00E-05,1,100%,8,664,316,598,793,0.9506459862,,0.6775510204,0.455730954,0.5449322938
NLLoss,8,0.001,4,100%,8,477,210,704,980,0.9506459862,,0.6943231441,0.3273850377,0.4449626866
BCEwithLL,8,0.0001,1,100%,9,561,257,657,896,0.9506459862,95.06,0.6858190709,0.3850377488,0.4931868132
NLLoss,32,0.001,16,100%,6,474,215,699,983,0.9506293799,,0.6879535559,0.3253260124,0.4417520969
BCEwithLL,16,0.001,1,100%,1,555,252,662,902,0.9506293799,,0.687732342,0.380919698,0.4902826855
NLLoss,64,0.001,16,100%,7,474,214,700,983,0.9506293799,,0.6889534884,0.3253260124,0.441958042
BCEwithLL,16,0.0001,1,100%,7,581,262,652,876,0.9506293799,,0.6892052195,0.3987645848,0.5052173913
NLLoss,32,0.0001,8,100%,6,534,245,669,923,0.9506293799,,0.6854942234,0.3665065202,0.4776386404
NLLoss,256,0.0001,8,100%,8,548,253,661,909,0.9506293799,,0.684144819,0.3761153054,0.4853852967
NLLoss,256,0.0001,2,100%,4,595,278,636,862,0.9506293799,,0.6815578465,0.4083733699,0.5107296137
BCEwithLL,8,0.001,32,100%,7,535,248,666,922,0.9506293799,,0.6832694764,0.367192862,0.4776785714
BCEwithLL,8,0.001,32,100%,9,493,222,692,964,0.9506293799,95.06,0.6895104895,0.3383665065,0.4539594843
BCEwithLL,8,0.001,4,100%,6,479,207,707,978,0.9506293799,,0.6982507289,0.3287577213,0.4470368642
BCEwithLL,32,0.001,16,100%,6,497,223,691,960,0.9506127736,,0.6902777778,0.3411118737,0.4565916399
BCEwithLL,128,0.0001,16,100%,8,650,306,608,807,0.9506127736,,0.679916318,0.4461221688,0.5387484459
NLLoss,64,0.001,16,100%,5,492,214,700,965,0.9506127736,,0.6968838527,0.3376801647,0.4549237171
BCEwithLL,256,0.0001,8,100%,8,608,286,628,849,0.9506127736,,0.6800894855,0.4172958133,0.517226712
BCEwithLL,512,0.0001,2,100%,7,618,285,629,839,0.9506127736,,0.6843853821,0.4241592313,0.5237288136
BCEwithLL,8,0.0001,1,100%,4,646,307,607,811,0.9506127736,,0.6778593914,0.4433768016,0.5360995851
BCEwithLL,16,0.001,32,100%,8,513,227,687,944,0.9505961673,,0.6932432432,0.3520933425,0.4670004552
BCEwithLL,32,0.001,4,100%,3,573,256,658,884,0.9505961673,,0.6911942099,0.3932738504,0.501312336
